l,a,b,p,v,label
66.3888,9.0693,0.658297,5.993668,0.0995836347,bottle
3.98637,4.72877,-1.46549,5.993668,0.0995836347,knife
8.70705,6.85728,-1.07348,5.993668,0.0995836347,bag
47.8228,4.53911,-5.50582,5.993668,0.0995836347,stove
24.572,5.71433,-2.04902,5.993668,0.0995836347,stove
45.0976,4.70303,-6.17078,5.993668,0.0995836347,stove
37.8555,5.72686,-1.70605,5.993668,0.0995836347,stove
73.0587,5.33676,-9.89845,5.993668,0.0995836347,stove
94.671,0.731711,-7.42081,5.993668,0.0995836347,drawer
28.4585,24.5147,-33.146,5.993668,0.0995836347,sunblock
40.3062,3.98083,3.61582,5.993668,0.0995836347,stove
21.8661,10.6625,10.6753,5.993668,0.0995836347,stove
74.4957,5.86505,-11.3201,5.993668,0.0995836347,drawer
61.5651,41.6397,44.781,5.993668,0.0995836347,sunblock
60.5991,48.2401,27.8184,5.993668,0.0995836347,sunblock
62.6393,40.0857,43.4857,5.993668,0.0995836347,sunblock
75.1662,2.31081,-9.18111,5.993668,0.0995836347,drawer
62.3658,4.09367,-5.33383,5.993668,0.0995836347,stove
52.5106,32.1604,43.3461,5.993668,0.0995836347,sunblock
87.9529,3.76195,-5.95809,5.993668,0.0995836347,stove
38.3582,-21.6935,29.0941,5.993668,0.0995836347,repellent
90.0848,-8.2078,81.1487,4.441416,0.0504774835,plastic
54.7777,-36.6208,35.3758,4.441416,0.0504774835,repellent
56.137,-25.3898,20.6563,4.441416,0.0504774835,repellent
68.1392,7.48019,-9.12301,4.441416,0.0504774835,stove
26.4473,4.05897,-3.81113,4.441416,0.0504774835,stove
49.6355,-35.9505,41.4461,4.441416,0.0504774835,repellent
46.6903,6.84958,-4.5233,4.441416,0.0504774835,stove
66.806,5.38319,1.96734,4.441416,0.0504774835,stove
56.1135,17.3789,1.10837,4.441416,0.0504774835,repellent
55.6002,-19.3362,23.9884,4.441416,0.0504774835,repellent
41.4768,5.12837,3.98464,4.441416,0.0504774835,repellent
73.6447,26.7326,39.3622,4.441416,0.0504774835,sunblock
52.4388,5.95221,-20.1192,4.441416,0.0504774835,poncho
38.2335,7.07226,-2.13176,4.441416,0.0504774835,burner
44.9098,66.4249,38.0914,4.441416,0.0504774835,brush
63.6329,9.19931,-46.4155,4.441416,0.0504774835,poncho
23.3336,10.2341,3.60502,4.441416,0.0504774835,burner
47.4749,8.57237,-7.26323,4.441416,0.0504774835,burner
19.0056,15.2895,-0.494702,4.441416,0.0504774835,lamp
62.4204,11.0825,-41.6218,4.441416,0.0504774835,poncho
76.1595,2.13774,-10.8413,4.441416,0.0504774835,poncho
44.5139,68.8672,39.1335,4.441416,0.0504774835,brush
9.96295,16.7555,4.54893,4.441416,0.0504774835,pouch
25.4258,27.6508,5.67777,4.441416,0.0504774835,pouch
48.2007,55.8301,15.0284,4.441416,0.0504774835,pouch
36.8963,52.7411,23.5391,4.441416,0.0504774835,lamp
75.4887,14.8904,-3.35759,4.441416,0.0504774835,pouch
